frame_number,id,actor_actress,about,score
2001,f9400dff-116f-419d-8788-dd92172e3872,Morven Christie,About the Character: Amanda is the beautiful society girl and free spirt whose love for Sidney Chambers must remain as no more than friendship. The two have known each other for a long time—Amanda went to school with Sidney’s sister. It’s she who gave Sidney the Labrador pup named Dickens.Where You’ve Seen Her Before: Morven is known for her portrayal of architect Ellen Rooney in The Replacement. She’s been in TV series such as The Bay  The A Word  and Doctor Who  and films including The Young Victoria and Road Dance.Fun Facts: Christie left school at age 16 and was employed as a waitress  retail assistant  and a ski instructor who even helped get ski boots on her students’ feet before turning to acting. “I’ve always been a doing person ” she told The Scotsman.Related Content: Hear Christie talk about Grantchester’s star-crossed lovers on the MASTERPIECE Studio podcast.,0.6635468006134033
2501,cd10ef26-e72e-4664-a747-a76f4c2ef89b,James Norton,About the Character:  Sidney is a young man who fought and killed in World War II  adores jazz  drinks too much  attracts female attention—and just happens to be the vicar of a Cambridgeshire village. His unlikely partnership with Inspector Keating is central to the series.Where You’ve Seen Him Before: MASTERPIECE fans may recognize Norton from playing lawyer Henry Alveston in the mystery Death Comes to Pemberley  or spied him in To Walk Invisible: The Brontë Sisters—where toy soldiers come to life and he’s the mini Duke of Wellington! Other period roles include Prince Andrei Bolkonsky in 2016’s War and Peace and tutor John Brooke in 2019’s Little Women. He first won critical acclaim playing a psychopath killer in Happy Valley.Fun Fact: While Norton was in drama school  he earned money leading children’s games and dispensing gummy bears at their parties. “I ran kids’ parties  cycling around London on Saturday mornings … taking 50 children for a birthday party with a rucksack full of Haribo ” he told Esquire.Related Content: Read our interview with Norton about his time on Grantchester—and have a chuckle watching he and Robson Green play The Grantchester Bromance Game!        ,0.6211397647857666
3201,cd10ef26-e72e-4664-a747-a76f4c2ef89b,James Norton,About the Character:  Sidney is a young man who fought and killed in World War II  adores jazz  drinks too much  attracts female attention—and just happens to be the vicar of a Cambridgeshire village. His unlikely partnership with Inspector Keating is central to the series.Where You’ve Seen Him Before: MASTERPIECE fans may recognize Norton from playing lawyer Henry Alveston in the mystery Death Comes to Pemberley  or spied him in To Walk Invisible: The Brontë Sisters—where toy soldiers come to life and he’s the mini Duke of Wellington! Other period roles include Prince Andrei Bolkonsky in 2016’s War and Peace and tutor John Brooke in 2019’s Little Women. He first won critical acclaim playing a psychopath killer in Happy Valley.Fun Fact: While Norton was in drama school  he earned money leading children’s games and dispensing gummy bears at their parties. “I ran kids’ parties  cycling around London on Saturday mornings … taking 50 children for a birthday party with a rucksack full of Haribo ” he told Esquire.Related Content: Read our interview with Norton about his time on Grantchester—and have a chuckle watching he and Robson Green play The Grantchester Bromance Game!        ,0.6321056485176086
4301,cd10ef26-e72e-4664-a747-a76f4c2ef89b,James Norton,About the Character:  Sidney is a young man who fought and killed in World War II  adores jazz  drinks too much  attracts female attention—and just happens to be the vicar of a Cambridgeshire village. His unlikely partnership with Inspector Keating is central to the series.Where You’ve Seen Him Before: MASTERPIECE fans may recognize Norton from playing lawyer Henry Alveston in the mystery Death Comes to Pemberley  or spied him in To Walk Invisible: The Brontë Sisters—where toy soldiers come to life and he’s the mini Duke of Wellington! Other period roles include Prince Andrei Bolkonsky in 2016’s War and Peace and tutor John Brooke in 2019’s Little Women. He first won critical acclaim playing a psychopath killer in Happy Valley.Fun Fact: While Norton was in drama school  he earned money leading children’s games and dispensing gummy bears at their parties. “I ran kids’ parties  cycling around London on Saturday mornings … taking 50 children for a birthday party with a rucksack full of Haribo ” he told Esquire.Related Content: Read our interview with Norton about his time on Grantchester—and have a chuckle watching he and Robson Green play The Grantchester Bromance Game!        ,0.6031849384307861
5601,cd10ef26-e72e-4664-a747-a76f4c2ef89b,James Norton,About the Character:  Sidney is a young man who fought and killed in World War II  adores jazz  drinks too much  attracts female attention—and just happens to be the vicar of a Cambridgeshire village. His unlikely partnership with Inspector Keating is central to the series.Where You’ve Seen Him Before: MASTERPIECE fans may recognize Norton from playing lawyer Henry Alveston in the mystery Death Comes to Pemberley  or spied him in To Walk Invisible: The Brontë Sisters—where toy soldiers come to life and he’s the mini Duke of Wellington! Other period roles include Prince Andrei Bolkonsky in 2016’s War and Peace and tutor John Brooke in 2019’s Little Women. He first won critical acclaim playing a psychopath killer in Happy Valley.Fun Fact: While Norton was in drama school  he earned money leading children’s games and dispensing gummy bears at their parties. “I ran kids’ parties  cycling around London on Saturday mornings … taking 50 children for a birthday party with a rucksack full of Haribo ” he told Esquire.Related Content: Read our interview with Norton about his time on Grantchester—and have a chuckle watching he and Robson Green play The Grantchester Bromance Game!        ,0.6894161701202393
6401,6f236072-eda4-4110-8b2e-4336d0734133,Tessa Peake-Jones,About the Character: “Mrs. M” is the vicarage’s housekeeper—an indomitable soul who keeps everyone in check and does her best to make a chaotic household presentable. She’s been a local all her life  speaks her mind and can be a bit of a busybody.Where You’ve Seen Her Before: She might be recognized from her role in Season 1 of Unforgotten  but Peake-Jones is best known for her work in the 1980 film Pride and Prejudice and the series Only Fools and Horses.Fun Fact: Before Grantchester  Peake-Jones worked with Robson Green on an episode of the British medical drama series Casualty—and with a very naked James Norton on the indie film Bonobo  about a bohemian commune.Related Content: Read our exclusive cast interview with Peake-Jones and listen to her speak with the MASTERPIECE Studio podcast.,0.776491641998291
6801,cd10ef26-e72e-4664-a747-a76f4c2ef89b,James Norton,About the Character:  Sidney is a young man who fought and killed in World War II  adores jazz  drinks too much  attracts female attention—and just happens to be the vicar of a Cambridgeshire village. His unlikely partnership with Inspector Keating is central to the series.Where You’ve Seen Him Before: MASTERPIECE fans may recognize Norton from playing lawyer Henry Alveston in the mystery Death Comes to Pemberley  or spied him in To Walk Invisible: The Brontë Sisters—where toy soldiers come to life and he’s the mini Duke of Wellington! Other period roles include Prince Andrei Bolkonsky in 2016’s War and Peace and tutor John Brooke in 2019’s Little Women. He first won critical acclaim playing a psychopath killer in Happy Valley.Fun Fact: While Norton was in drama school  he earned money leading children’s games and dispensing gummy bears at their parties. “I ran kids’ parties  cycling around London on Saturday mornings … taking 50 children for a birthday party with a rucksack full of Haribo ” he told Esquire.Related Content: Read our interview with Norton about his time on Grantchester—and have a chuckle watching he and Robson Green play The Grantchester Bromance Game!        ,0.6381657339235715
7101,cd10ef26-e72e-4664-a747-a76f4c2ef89b,James Norton,About the Character:  Sidney is a young man who fought and killed in World War II  adores jazz  drinks too much  attracts female attention—and just happens to be the vicar of a Cambridgeshire village. His unlikely partnership with Inspector Keating is central to the series.Where You’ve Seen Him Before: MASTERPIECE fans may recognize Norton from playing lawyer Henry Alveston in the mystery Death Comes to Pemberley  or spied him in To Walk Invisible: The Brontë Sisters—where toy soldiers come to life and he’s the mini Duke of Wellington! Other period roles include Prince Andrei Bolkonsky in 2016’s War and Peace and tutor John Brooke in 2019’s Little Women. He first won critical acclaim playing a psychopath killer in Happy Valley.Fun Fact: While Norton was in drama school  he earned money leading children’s games and dispensing gummy bears at their parties. “I ran kids’ parties  cycling around London on Saturday mornings … taking 50 children for a birthday party with a rucksack full of Haribo ” he told Esquire.Related Content: Read our interview with Norton about his time on Grantchester—and have a chuckle watching he and Robson Green play The Grantchester Bromance Game!        ,0.63993712186626
9201,cd10ef26-e72e-4664-a747-a76f4c2ef89b,James Norton,About the Character:  Sidney is a young man who fought and killed in World War II  adores jazz  drinks too much  attracts female attention—and just happens to be the vicar of a Cambridgeshire village. His unlikely partnership with Inspector Keating is central to the series.Where You’ve Seen Him Before: MASTERPIECE fans may recognize Norton from playing lawyer Henry Alveston in the mystery Death Comes to Pemberley  or spied him in To Walk Invisible: The Brontë Sisters—where toy soldiers come to life and he’s the mini Duke of Wellington! Other period roles include Prince Andrei Bolkonsky in 2016’s War and Peace and tutor John Brooke in 2019’s Little Women. He first won critical acclaim playing a psychopath killer in Happy Valley.Fun Fact: While Norton was in drama school  he earned money leading children’s games and dispensing gummy bears at their parties. “I ran kids’ parties  cycling around London on Saturday mornings … taking 50 children for a birthday party with a rucksack full of Haribo ” he told Esquire.Related Content: Read our interview with Norton about his time on Grantchester—and have a chuckle watching he and Robson Green play The Grantchester Bromance Game!        ,0.7360736131668091
9201,6f236072-eda4-4110-8b2e-4336d0734133,Tessa Peake-Jones,About the Character: “Mrs. M” is the vicarage’s housekeeper—an indomitable soul who keeps everyone in check and does her best to make a chaotic household presentable. She’s been a local all her life  speaks her mind and can be a bit of a busybody.Where You’ve Seen Her Before: She might be recognized from her role in Season 1 of Unforgotten  but Peake-Jones is best known for her work in the 1980 film Pride and Prejudice and the series Only Fools and Horses.Fun Fact: Before Grantchester  Peake-Jones worked with Robson Green on an episode of the British medical drama series Casualty—and with a very naked James Norton on the indie film Bonobo  about a bohemian commune.Related Content: Read our exclusive cast interview with Peake-Jones and listen to her speak with the MASTERPIECE Studio podcast.,0.7070736885070801
